Product_Name,Product_Price,Product_Rating
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹34,990",4.2
SAMSUNG Crystal 4K Pro 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"₹83,990",3
SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹71,030",4.3
SAMSUNG 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,98,889",5
SAMSUNG Series 7 123 cm (49 inch) Ultra HD (4K) LED Smart Tizen TV,"₹64,499",4.3
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹32,849",5
SAMSUNG Crystal 4K Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"₹47,990",5
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹87,936",4.5
SAMSUNG 7 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹56,800",5
SAMSUNG Q60BAKL 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹74,990",1
SAMSUNG Crystal 4K 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV,"₹81,990",4.2
SAMSUNG Q70RAK 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹2,24,999",5
SAMSUNG Series 8 189 cm (75 inch) Ultra HD (4K) LED Smart Tizen TV,"₹5,99,900",5
SAMSUNG 108 cm (43 inch) Full HD LED TV,"₹48,900",4.2
SAMSUNG 165 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,29,990",5
SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,79,999",4.5
SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,22,290",3.4
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹18,490",4
SAMSUNG BU8570UL 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹65,200",2.3
SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹35,490",4
SAMSUNG Series 6 123 cm (49 inch) Ultra HD (4K) LED Smart Tizen TV,"₹1,29,900",4.5
SAMSUNG BU8570UL 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV,"₹1,04,860",4.4
SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹48,990",4.3
SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹3,41,900",4
SAMSUNG Series 5 138 cm (55 inch) Full HD LED Smart Tizen TV,"₹1,18,900",4.6
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹45,899",4
SAMSUNG The Frame 2020 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹66,999",3.4
SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,59,500",2
SAMSUNG 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV,"₹2,95,900",5
SAMSUNG 7 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,"₹49,290",4.3
SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹3,14,900",4
SAMSUNG Series 4 80 cm (32 inch) HD Ready LED TV,"₹19,599",5
SAMSUNG 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹84,990",4
SAMSUNG 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹62,990",1
SAMSUNG Series 6 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹1,49,900",5
SAMSUNG Q70RAK 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,28,999",4
SAMSUNG 4 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹17,990",5
SAMSUNG LS05BAKL 108 cm (43 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,19,900",3.9
